Site,soil_treatment,depth,matricd,gravel_content,evco,trco_grass,trco_shrub,trco_tree,trco_forb,%sand,%clay,imperm,soiltemp
33,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.571,0.235,0,2.975
33,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.594,0.219,0,2.975
34,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.519,0.208,0,0.186
34,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.47,0.241,0,0.372
34,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.496,0.235,0,0.744
34,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.517,0.238,0,1.116
34,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.52,0.256,0,1.488
34,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.458,0.261,0,2.232
34,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.443,0.255,0,2.975
34,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.48,0.234,0,2.975
35,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.519,0.208,0,0.186
35,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.47,0.241,0,0.372
35,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.496,0.235,0,0.744
35,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.517,0.238,0,1.116
35,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.52,0.256,0,1.488
35,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.458,0.261,0,2.232
35,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.443,0.255,0,2.975
35,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.48,0.234,0,2.975
36,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.551028571,0.185085714,0,0.186
36,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.522285714,0.226971429,0,0.372
36,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.510285714,0.233485714,0,0.744
36,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.512685714,0.234114286,0,1.116
36,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.519542857,0.229771429,0,1.488
36,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.5276,0.222457143,0,2.232
36,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.551914286,0.212857143,0,2.975
36,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.552914286,0.211742857,0,2.975
37,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.407,0.199,0,0.186
37,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.4,0.203,0,0.372
37,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.373,0.216,0,0.744
37,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.348,0.26,0,1.116
37,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.199,0.316,0,1.488
37,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.166,0.344,0,2.232
37,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.134,0.39,0,2.975
37,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.13,0.38,0,2.975
38,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.275,0.302,0,0.186
38,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.275,0.315,0,0.372
38,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.275,0.315,0,0.744
38,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.294,0.328,0,1.116
38,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.291,0.331,0,1.488
38,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.156,0.421,0,2.232
38,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.156,0.421,0,2.975
38,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.284,0.349,0,2.975
39,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.153,0.413,0,0.186
39,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.153,0.469,0,0.372
39,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.153,0.491,0,0.744
39,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.153,0.508,0,1.116
39,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.141,0.526,0,1.488
39,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.138,0.517,0,2.232
39,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.138,0.511,0,2.975
39,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.153,0.494,0,2.975
40,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.558,0.102,0,0.186
40,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.558,0.102,0,0.372
40,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.554,0.117,0,0.744
40,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.544,0.152,0,1.116
40,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.477,0.216,0,1.488
40,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.428,0.29,0,2.232
40,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.488,0.279,0,2.975
40,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.602,0.215,0,2.975
