Site,soil_treatment,depth,matricd,gravel_content,evco,trco_grass,trco_shrub,trco_tree,trco_forb,%sand,%clay,imperm,soiltemp
7,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.583,0.167,0,2.232
7,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.066,0,2.975
7,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.7,0.064,0,2.975
8,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.559,0.195,0,0.186
8,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.485,0.258,0,0.372
8,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.484,0.271,0,0.744
8,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.485,0.275,0,1.116
8,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.509,0.252,0,1.488
8,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.627,0.202,0,2.232
8,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.63,0.202,0,2.975
8,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.694,0.153,0,2.975
9,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.656,0.142,0,0.186
9,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.631,0.216,0,0.372
9,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.631,0.245,0,0.744
9,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.631,0.256,0,1.116
9,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.611,0.256,0,1.488
9,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.7,0.099,0,2.232
9,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.139,0,2.975
9,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.445,0.181,0,2.975
10,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.653,0.151,0,0.186
10,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.633,0.19,0,0.372
10,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.633,0.205,0,0.744
10,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.633,0.21,0,1.116
10,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.69,0.163,0,1.488
